RowID,Words
1,blockchaininfo
2,mashable
3,pwc
4,techspot
5,techcrunch
6,crowdfundingbeat
7,risknet
8,nerdwallet
9,airbnb
10,nest
11,investopedia
12,syndicateroom
13,ey
14,angellist
15,algomi
16,cnbc
17,statistics
18,bloomberg
19,forbes
20,blockchain
21,deloitte
22,money
23,technica
24,banker
25,verge
26,integrations
27,apis
28,commission
29,reuters
30,journal
31,stats
32,phenomenon
33,intelligence
34,address
35,explained
36,times
37,finance
38,swaps
39,company
40,portfolios
41,lending
42,applications
43,payments
44,investors
45,report
46,analysis
47,colleagues
48,blacksmiths
49,program
50,million
51,data
52,hack
53,hosts
54,operation
55,organized
56,solve
57,capgemini
58,machines
59,regulation
60,convergence
61,preferences
62,approach
63,regulations
64,uncertainties
65,software
66,system
67,venmo
68,schemes
69,economy
70,fraud
71,fintechenabled
72,research
73,cyberinsecurity
74,query
75,governance
76,community
77,network
78,bankregulators
79,mutual
80,architecture
81,solutions
82,markets
83,association
84,mobiles
85,configurations
86,offerings
87,premiums
88,management
89,cardbased
90,popular
91,decline
92,events
93,networks
94,role
95,channel
96,run
97,limits
98,issues
99,universe
100,country